field,value,unit,note
project_name,,,案件名
product_category,,,curtain/acrylic/lightbox/pvc/enamel/wpc/wallpaper/acoustic
quantity,,,数量
supplier_price,,,Alibaba.com供应商商品总价
supplier_currency,,,USD/RMB
trade_term,,,EXW/FOB/CIF/DDP
china_domestic_freight_rmb,,,中国国内运费
export_packaging_rmb,,,出口包装/木架/木箱
sample_or_file_fee_rmb,,,打样/制版/数据处理
qc_fee_rmb,,,验货/QC
china_operation_fee_rmb,,,中国侧操作费
fx_jpy_per_rmb,,,人民币兑日元汇率
fx_buffer,1.05,multiplier,汇率缓冲建议1.03-1.08
international_freight_jpy,,,国际运费
customs_clearance_jpy,,,报关/通关手续费
port_charge_jpy,,,港杂/换单/仓储
tariff_rate,,,关税率，正式按HS确认
import_consumption_tax_rate,0.10,rate,日本进口消费税预留
japan_domestic_delivery_jpy,,,日本国内配送
site_measurement_jpy,,,上门测量
standard_installation_jpy,,,标准简易安装
special_work_jpy,,,复杂施工/高空/特殊固定
risk_reserve_rate,0.05,rate,破损/重做/售后预备
service_margin_rate,0.30,rate,京建服务费/毛利
china_subtotal_rmb,=SUM(B4:B9),RMB,中国侧小计
china_subtotal_jpy,=B22*B10*B11,JPY,中国侧日元化
cif_before_tax_jpy,=B23+B12+B13+B14,JPY,税前到岸基础
tariff_jpy,=B24*B15,JPY,关税预估
import_consumption_tax_jpy,=(B24+B25)*B16,JPY,进口消费税预估
landed_cost_jpy,=B24+B25+B26,JPY,到岸含税成本
japan_service_cost_jpy,=SUM(B17:B20),JPY,日本国内配送和现场服务
cost_before_margin_jpy,=B27+B28,JPY,成本小计
risk_reserve_jpy,=B29*B21,JPY,风险预备
quote_base_jpy,=B29+B30,JPY,报价成本基础
customer_quote_jpy,=B31/(1-B22),JPY,客户报价不含特殊另计项
